nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,0.473295,0.480794,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,0.473294,0.480905,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,0.473860,0.481586,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,0.473328,0.480828,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,0.473143,0.480647,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,0.467842,0.475557,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,0.467805,0.475504,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,0.468241,0.476135,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,0.467838,0.475560,,,0,0
6000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,0.467812,0.475517,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,3.174351,3.204229,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,3.174879,3.204756,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,3.174857,3.204680,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,3.174727,3.204587,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,3.174766,3.204526,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,3.159206,3.188953,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,3.159479,3.189188,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,3.159212,3.188938,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,3.159210,3.188898,,,0,0
12000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,3.159514,3.189149,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,1,23.681064,23.800045,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,2,23.669279,23.787703,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,3,23.669131,23.787374,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,4,23.669064,23.787218,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,256,1056,5,23.669080,23.787244,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,1,23.584500,23.702721,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,2,23.584619,23.702471,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,3,23.585066,23.702930,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,4,23.583906,23.701823,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,256,1056,5,23.584197,23.701878,,,0,0
