alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.80,87,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,87,0,0,,,,0
lower26,literal,512,16,10000,0.80,88,1,1,1356,13,10,0
lower26,literal,512,16,10000,0.80,88,0,0,,,,0
lower26,literal,512,16,10000,0.80,89,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,89,0,0,,,,0
lower26,literal,512,16,10000,0.80,90,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,90,0,0,,,,0
lower26,literal,512,16,10000,0.80,91,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,91,0,0,,,,0
lower26,literal,512,16,10000,0.80,92,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,92,0,0,,,,0
lower26,literal,512,16,10000,0.80,93,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,93,0,0,,,,0
lower26,literal,512,16,10000,0.80,94,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,94,0,0,,,,0
lower26,literal,512,16,10000,0.80,95,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,95,0,0,,,,0
lower26,literal,512,16,10000,0.80,96,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,96,0,0,,,,0
lower26,literal,512,16,10000,0.80,97,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,97,0,0,,,,0
lower26,literal,512,16,10000,0.80,98,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,98,0,0,,,,0
lower26,literal,512,16,10000,0.80,99,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,99,0,0,,,,0
lower26,literal,512,16,10000,0.80,100,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,100,0,0,,,,0
lower26,literal,512,16,10000,0.80,101,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,101,0,0,,,,0
lower26,literal,512,16,10000,0.80,102,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,102,0,0,,,,0
lower26,literal,512,16,10000,0.80,103,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,103,0,0,,,,0
lower26,literal,512,16,10000,0.80,104,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,104,0,0,,,,0
lower26,literal,512,16,10000,0.80,105,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,105,0,0,,,,0
lower26,literal,512,16,10000,0.80,106,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,106,0,0,,,,0
lower26,literal,512,16,10000,0.80,107,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,107,0,0,,,,0
lower26,literal,512,16,10000,0.80,108,1,1,1356,13,10,0
lower26,literal,512,16,10000,0.80,108,0,0,,,,0
lower26,literal,512,16,10000,0.80,109,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,109,0,0,,,,0
lower26,literal,512,16,10000,0.80,110,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,110,0,0,,,,0
lower26,literal,512,16,10000,0.80,111,1,1,1356,13,10,0
lower26,literal,512,16,10000,0.80,111,0,0,,,,0
lower26,literal,512,16,10000,0.80,112,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,112,0,0,,,,0
lower26,literal,512,16,10000,0.80,113,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,113,0,0,,,,0
lower26,literal,512,16,10000,0.80,114,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,114,0,0,,,,0
lower26,literal,512,16,10000,0.80,115,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,115,0,0,,,,0
lower26,literal,512,16,10000,0.80,116,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,116,0,0,,,,0
lower26,literal,512,16,10000,0.80,117,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,117,0,0,,,,0
lower26,literal,512,16,10000,0.80,118,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,118,0,0,,,,0
lower26,literal,512,16,10000,0.80,119,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,119,0,0,,,,0
lower26,literal,512,16,10000,0.80,120,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,120,0,0,,,,0
lower26,literal,512,16,10000,0.80,121,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,121,0,0,,,,0
lower26,literal,512,16,10000,0.80,122,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,122,0,0,,,,0
lower26,literal,512,16,10000,0.80,123,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,123,0,0,,,,0
lower26,literal,512,16,10000,0.80,124,1,1,1356,13,11,0
lower26,literal,512,16,10000,0.80,124,0,0,,,,0
lower26,literal,512,16,10000,0.80,125,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,125,0,0,,,,0
lower26,literal,512,16,10000,0.80,126,1,1,1356,13,12,0
lower26,literal,512,16,10000,0.80,126,0,0,,,,0
lower26,literal,512,16,10000,0.80,127,1,1,1356,13,12,0
