nodes,topology,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,energy_counter_j,mismatches
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,2,0.004861,0.005670,0.308,58.532,6,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,3,0.004858,0.005665,0.308,58.532,6,0.000,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,4,0.004864,0.005666,0.247,58.532,5,6.137,0
1000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,961,5,0.004858,0.005666,0.308,58.532,6,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,1,0.022087,0.025194,1.456,60.122,24,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,2,0.022088,0.025037,1.456,60.122,24,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,3,0.022083,0.025023,1.631,67.288,24,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,4,0.022078,0.024997,1.678,72.406,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,3844,5,0.022052,0.024978,1.678,72.406,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,1,0.021329,0.024329,1.502,62.015,24,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,2,0.021330,0.024180,1.437,62.015,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,3,0.021333,0.024143,1.660,71.497,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,4,0.021326,0.024112,1.734,74.843,23,0.000,0
2000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,off,changed,per-launch,1024,3844,5,0.021293,0.024096,1.734,74.843,23,7.652,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,1,0.058260,0.064947,5.303,82.550,62,9.017,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,2,0.058252,0.064901,5.885,93.139,61,9.150,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,3,0.058224,0.064858,5.795,90.215,62,0.000,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,4,0.058217,0.064849,5.554,86.429,62,8.583,0
3000,chain,gpu,NVIDIA A100-SXM4-40GB,tiled,on,changed,per-launch,1024,8649,5,0.058229,0.064855,5.266,81.962,62,8.977,0
