nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
3000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,2,0.010630,0.012566,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,3,0.010600,0.012526,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,4,0.010570,0.012487,,,0,0
3000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,8649,5,0.010575,0.012506,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,1,0.069790,0.077405,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,2,0.069763,0.077415,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,3,0.069779,0.077374,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,4,0.069949,0.077541,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,34969,5,0.069704,0.077320,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,1,0.070005,0.077696,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,2,0.069700,0.077360,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,3,0.069780,0.077491,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,4,0.069746,0.077425,,,0,0
6000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,34969,5,0.069900,0.077585,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,1,0.519443,0.549183,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,2,0.519364,0.549122,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,3,0.519374,0.549158,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,4,0.519413,0.549027,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,139876,5,0.519382,0.549114,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,1,0.519400,0.549247,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,2,0.519489,0.549362,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,3,0.519421,0.549230,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,4,0.519358,0.549013,,,0,0
12000,gpu,NVIDIA H200 NVL,tiled,off,changed,per-launch,1024,139876,5,0.519332,0.549257,,,0,0
24000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,1,4.071758,4.187676,,,0,0
24000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,2,4.071535,4.187667,,,0,0
24000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,3,4.071420,4.187451,,,0,0
24000,gpu,NVIDIA H200 NVL,tiled,on,changed,per-launch,1024,561001,4,4.071236,4.186924,,,0,0
