alphabet,mode,payload,sig_len,signatures,alpha,seed,planted,found,report_sig,report_score,report_pos,mismatches
lower26,literal,512,16,10000,0.50,84,0,0,,,,0
lower26,literal,512,16,10000,0.50,85,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,85,0,0,,,,0
lower26,literal,512,16,10000,0.50,86,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,86,0,0,,,,0
lower26,literal,512,16,10000,0.50,87,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,87,0,0,,,,0
lower26,literal,512,16,10000,0.50,88,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,88,0,0,,,,0
lower26,literal,512,16,10000,0.50,89,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,89,0,0,,,,0
lower26,literal,512,16,10000,0.50,90,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,90,0,0,,,,0
lower26,literal,512,16,10000,0.50,91,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,91,0,0,,,,0
lower26,literal,512,16,10000,0.50,92,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,92,0,0,,,,0
lower26,literal,512,16,10000,0.50,93,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,93,0,0,,,,0
lower26,literal,512,16,10000,0.50,94,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,94,0,0,,,,0
lower26,literal,512,16,10000,0.50,95,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,95,0,0,,,,0
lower26,literal,512,16,10000,0.50,96,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,96,0,0,,,,0
lower26,literal,512,16,10000,0.50,97,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,97,0,0,,,,0
lower26,literal,512,16,10000,0.50,98,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,98,0,0,,,,0
lower26,literal,512,16,10000,0.50,99,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,99,0,0,,,,0
lower26,literal,512,16,10000,0.50,100,1,1,1356,9,8,0
lower26,literal,512,16,10000,0.50,100,0,0,,,,0
