nodes,target,gpu,layout,dpx,store,sync,block_threads,grid_blocks,trial,kernel_s,endtoend_s,energy_j,mean_power_w,power_samples,mismatches
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,2,24.611971,24.728452,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,3,24.611611,24.728015,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,4,24.612072,24.728364,,,0,0
24000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,64,4224,5,24.611604,24.728115,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,1000,1,0.009067,0.009319,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,1000,2,0.009067,0.009319,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,1000,3,0.009064,0.009316,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,1000,4,0.009069,0.009321,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,1000,5,0.009068,0.009315,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,1000,1,0.009027,0.009278,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,1000,2,0.009035,0.009282,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,1000,3,0.009034,0.009282,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,1000,4,0.009042,0.009291,,,0,0
1000,gpu,NVIDIA H200 NVL,coalesced,off,changed,per-launch,128,1000,5,0.009018,0.009270,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2000,1,0.023503,0.024343,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2000,2,0.023502,0.024326,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2000,3,0.023498,0.024325,,,0,0
2000,gpu,NVIDIA H200 NVL,coalesced,on,changed,per-launch,128,2000,4,0.023504,0.024325,,,0,0
